x,y
1748566.258,5431914.157
1748565.74,5431910.814
1748565.465,5431906.47
1748565.344,5431899.765
1748566.335,5431888.557
1748567.973,5431873.663
1748569.508,5431856.978
1748573.201,5431827.696
1748577.397,5431807.763
1748579.126,5431803.998
1748580.937,5431801.196
1748583.583,5431796.432
1748586.449,5431790.29
1748586.867,5431789.13
1748589.241,5431780.463
1748590.24,5431776.141
1748590.39,5431771.098
1748590.466,5431767.317
1748589.468,5431762.55
1748585.22,5431753.133
1748579.616,5431746.365
1748571.386,5431735.658
1748550.929,5431706.559
1748532.837,5431682.91
1748514.851,5431660.406
1748509.883,5431652.389
1748505.356,5431643.081
1748502.383,5431636.905
1748494.58,5431616.174
1748482.636,5431585.149
1748476.974,5431570.931
1748472.879,5431563.817
1748464.025,5431549.077
1748451.076,5431529.014
1748437.104,5431506.443
1748426.431,5431489.452
1748416.325,5431473.483
1748403.8,5431452.574
1748402.292,5431448.466
1748401.759,5431446.482
1748401.124,5431443.85
1748401.374,5431440.419
1748402.557,5431433.869
1748405.372,5431414.779
1748408.039,5431395.797
1748409.274,5431389.095
1748410.142,5431382.358
1748410.259,5431373.637
1748409.555,5431367.722
1748408.341,5431362.626
1748406.14,5431356.485
1748402.199,5431347.989
1748397.746,5431338.52
1748393.754,5431329.143
1748394.214,5431321.551
1748395.982,5431316.462
1748398.393,5431311.658
1748402.199,5431307.454
1748408.443,5431302.694
1748422.876,5431296.041
1748450.488,5431283.821
1748458.116,5431281.482
1748469.552,5431279.151
1748476.667,5431278.639
1748484.907,5431278.844
1748496.729,5431280.84
1748507.835,5431284.371
1748518.583,5431288.21
1748528.564,5431290.257
1748535.575,5431290.052
1748542.587,5431288.21
1748549.445,5431285.037
1748556.457,5431280.379
1748561.319,5431275.62
1748564.953,5431269.938
1748568.024,5431263.439
1748569.406,5431259.958
1748570.184,5431256.772
1748570.626,5431253.308
1748570.856,5431250.074
1748570.787,5431246.754
1748568.996,5431236.057
1748565.721,5431223.262
1748563.366,5431213.742
1748563.059,5431210.927
1748563.52,5431206.116
1748564.185,5431203.506
1748566.591,5431196.75
1748572.22,5431187.589
1748580.921,5431173.719
1748585.323,5431168.294
1748589.417,5431164.302
1748592.59,5431161.897
1748598.476,5431158.621
1748603.543,5431156.523
1748610.862,5431154.322
1748619.204,5431153.349
1748624.732,5431152.582
1748633.535,5431151.763
1748641.621,5431150.842
1748650.527,5431150.944
1748656.361,5431151.968
1748664.959,5431154.731
1748673.814,5431159.338
1748680.928,5431165.428
1748686.148,5431171.723
1748691.829,5431179.912
1748695.975,5431187.845
1748700.53,5431195.522
1748704.368,5431202.176
1748708.361,5431208.317
1748711.79,5431212.668
1748717.624,5431218.144
1748733.029,5431230.171
1748762.381,5431253.535
1748772.95,5431262.031
1748780.013,5431265.716
1748789.789,5431269.759
1748800.127,5431274.826
1748814.969,5431281.428
1748821.879,5431283.783
1748832.166,5431286.035
1748841.993,5431285.83
1748853.508,5431283.834
1748864.154,5431283.834
1748881.299,5431285.113
1748901.567,5431286.956
1748914.259,5431288.389
1748930.33,5431289.003
1748939.133,5431287.519
1748945.787,5431286.035
1748953.054,5431283.117
1748970.353,5431273.393
1748992.949,5431258.883
1749020.024,5431248.596
1749046.177,5431238.514
1749055.697,5431234.215
1749060.879,5431230.875
1749065.485,5431227.702
1749067.98,5431224.797
1749071.422,5431220.639
1749073.367,5431216.442
1749074.8,5431213.064
1749076.156,5431208.791
1749077.602,5431201.561
1749076.067,5431179.554
1749071.972,5431166.452
1749071.422,5431160.041
1749072.586,5431154.168
1749074.597,5431147.24
1749078.051,5431140.906
1749082.005,5431135.954
1749086.303,5431132.263
1749098.445,5431125.239
1749113.633,5431121.515
1749122.502,5431120.6
1749131.58,5431121.704
1749135.879,5431121.656
1749161.578,5431116.234
1749168.622,5431114.219
1749174.782,5431111.397
1749179.696,5431108.614
1749185.797,5431104.319
1749193.534,5431098.039
1749199.752,5431090.285
1749215.277,5431067.161
1749221.125,5431059.369
1749225.048,5431055.633
1749229.608,5431053.343
1749233.301,5431051.449
1749239.366,5431050.259
1749246.39,5431050.643
1749252.839,5431052.102
1749259.804,5431055.595
1749316.612,5431099.381
1749324.379,5431103.815
1749332.477,5431108.092
1749339.977,5431111.205
1749351.423,5431115.435
1749366.618,5431119.161
1749383.341,5431121.52
1749398.797,5431121.881
1749405.669,5431121.661
1749418.259,5431120.184
1749431.566,5431117.779
1749443.491,5431115.118
1749458.282,5431110.972
1749471.947,5431107.133
1749482.183,5431104.626
1749502.144,5431098.791
1749518.777,5431093.878
1749534.183,5431091.523
1749542.679,5431091.421
1749554.041,5431091.575
1749575.383,5431092.24
1749596.162,5431094.492
1749608.228,5431094.914
1749621.343,5431095.362
1749631.323,5431094.901
1749637.228,5431093.321
1749648.283,5431090.541
1749656.095,5431087.02
1749665.563,5431082.157
1749671.244,5431078.626
1749674.571,5431075.913
1749680.661,5431071.409
1749688.953,5431064.807
1749696.374,5431057.028
1749704.511,5431048.992
1749714.594,5431038.552
1749724.136,5431029.263
1749731.966,5431021.528
1749751.188,5431002.162
1749772.274,5430981.23
1749789.874,5430963.783
1749801.95,5430952.778
1749814.552,5430941.99
1749818.593,5430937.701
1749825.086,5430930.926
1749831.56,5430924.211
1749843.543,5430912.366
1749852.5,5430903.486
1749863.708,5430892.329
1749875.864,5430880.046
1749893.452,5430862.235
1749902.642,5430853.163
1749915.931,5430840.72
1749920.634,5430836.606
1749922.911,5430834.585
1749925.483,5430833.113
1749927.53,5430832.294
1749930.16,5430832.262
1749932.341,5430832.729
